semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts,gap_type,gap_score,recommended_action
0,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14},Missing technical authority content,155.0,Create technical guide content supporting the morfblock product family.
11,powerfurl,19,19,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"kit, furling, powerfurl, 5t, 5t swl, furling kit, swl, swl morfrac, powerfurl furling, powerfurl kit",{'product': 19},"{'powerfurl': 16, 'shackle': 3}",Missing technical authority content,155.0,Create technical guide content supporting the powerfurl product family.
5,dogbone,31,30,0,1,0,376,3,2.2,FRAGMENTED_TOPIC,"dogbone, morfrac dogbone, length, aluminium, morfrac, length morfrac, total, total length, titanium, faced","{'product': 30, 'landing': 1}",{'dogbone': 31},Missing technical authority content,150.2,Create technical guide content supporting the dogbone product family.
9,powerfurl,11,11,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, drum, powerfurl, furling, powerfurl drum, unit powerfurl, furling unit, unit morfrac, powerfurl engineered, swl",{'product': 11},{'powerfurl': 11},Missing technical authority content,148.0,Create technical guide content supporting the powerfurl product family.
6,morfblock,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, light, lightweight sailing, sailing block, block, sailing, morfblock, swl, lightweight, high",{'product': 30},{'morfblock': 30},Missing technical authority content,145.0,Create technical guide content supporting the morfblock product family.
4,shackle,24,16,0,2,4,363,19,6.46,FRAGMENTED_TOPIC,"shackle, custom, ti shackle, ti, titanium, titanium shackle, high, ultra, snatch, performance","{'product': 16, 'authority_content': 4, 'general': 2, 'landing': 2}","{'shackle': 9, 'morfblock': 4, 'mloop': 4, 'powerfurl': 3, 'custom_engineering': 1, 'padeye': 1, 'dogbone': 1, 'morfring': 1}",Missing category support,135.46,Create or improve category structure for shackle pages.
10,morfring,16,15,0,1,0,0,0,0.0,OK,"ring, friction, friction ring, morfring, aluminium friction, ptfe, aluminium, ring morfrac, morfrac morfring, groove max","{'product': 15, 'landing': 1}","{'morfring': 13, 'padeye': 3}",Missing technical authority content,95.0,Create technical guide content supporting the morfring product family.
2,morfblock,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"morfblock max, max, sailing, efficiency, sailing block, block, delivering low, dimensions maximum, efficiency level, reliability strength",{'product': 6},{'morfblock': 6},Missing category support,68.0,Create or improve category structure for morfblock pages.
7,powerfurl,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, powerfurl fork, fitting, 10t, 10t swl, fork fitting, powerfurl, fork fork, swl, swl morfrac",{'product': 6},{'powerfurl': 6},Missing category support,68.0,Create or improve category structure for powerfurl pages.
8,powerfurl,5,5,0,0,0,0,0,0.0,OK,"integrator, swl integrator, powerfurl, td, powerfurl td, td integrator, designed smooth, smooth reliable, integrators, tdis",{'product': 5},{'powerfurl': 5},Missing category support,35.0,Create or improve category structure for powerfurl pages.
