priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,141.0,0.0,3.5,3.5,6.78,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",130
HIGH,dogbone,https://www.morfrac.com/dogbone,117.0,0.85,2.5,1.65,8.17,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,115
HIGH,dogbone,https://www.morfrac.com/es/dogbone,98.0,0.0,3.0,3.0,7.09,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,115
HIGH,mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,41.0,0.0,3.0,3.0,7.63,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",110
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,8.0,0.0,3.5,3.5,6.12,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone sailing,https://www.morfrac.com/dogbone,8.0,0.0,3.0,3.0,7.5,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone soft shackle,https://www.morfrac.com/dogbone,5.0,0.0,3.0,3.0,7.8,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone soft shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,33.0,0.0,2.5,2.5,8.79,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: m loop Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",100
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,14.0,0.0,2.0,2.0,9.36,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,custom shackles,https://www.morfrac.com/shackle,12.0,0.0,2.0,2.0,9.42,commercial,landing,22.0,127.0,,serp_ctr_gap; short_title,Primary query: custom shackles Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dogbones,https://www.morfrac.com/es/dogbone,26.0,3.85,7.0,3.15,3.31,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,90
HIGH,70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,6.0,0.0,1.0,1.0,14.0,product_code,product,0.0,0.0,,missing_meta; short_title,"Primary query: 70xl Page type: product Intent: product_code Emphasize product function, marine use case, and engineering reliability.",90
MEDIUM,padeye,https://www.morfrac.com/padeye,36.0,2.78,1.0,-1.7799999999999998,10.92,commercial,landing,18.0,133.0,,short_title,Primary query: padeye Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,dogbone carriers,https://www.morfrac.com/dogbone,14.0,0.0,1.0,1.0,12.57,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone carriers Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,dog bone sailing,https://www.morfrac.com/dogbone,6.0,0.0,1.0,1.0,11.17,commercial,landing,19.0,134.0,,short_title,Primary query: dog bone sailing Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,deck pad eye,https://www.morfrac.com/padeye,15.0,0.0,7.0,7.0,3.47,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: deck pad eye Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,80
MEDIUM,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,12.0,0.0,1.0,1.0,10.25,commercial,blog,0.0,0.0,,missing_meta; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial If query is commercial, consider linking to or creating a commercial landing page.",80
MEDIUM,dogbones,https://www.morfrac.com/dogbone,32.0,0.0,0.8,0.8,15.06,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,dog bone rigging,https://www.morfrac.com/dogbone,22.0,9.09,5.0,-4.09,4.23,commercial,landing,19.0,134.0,,short_title,Primary query: dog bone rigging Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,titanium shackle,https://www.morfrac.com/shackle,17.0,5.88,3.0,-2.88,7.94,commercial,landing,22.0,127.0,,short_title,Primary query: titanium shackle Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,soft padeye,https://www.morfrac.com/padeye,9.0,11.11,2.0,-9.11,9.78,commercial,landing,18.0,133.0,,short_title,Primary query: soft padeye Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
LOW,dogbone joint,https://www.morfrac.com/dogbone,58.0,0.0,0.2,0.2,40.69,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone joint Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,60
LOW,conurban marine,https://www.morfrac.com/partner,6.0,0.0,3.0,3.0,8.0,unknown,other,32.0,94.0,,serp_ctr_gap,Primary query: conurban marine Page type: other Intent: unknown CTR is below expected for current ranking position.,55
LOW,aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,11.0,0.0,5.0,5.0,4.73,unknown,blog,82.0,230.0,,long_meta; long_title; serp_ctr_gap,"Primary query: aluminum vs titanium vs stainless steel Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",50
LOW,comparison of stainless steel vs. titanium hardware for boats?,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,5.0,0.0,3.5,3.5,6.2,unknown,blog,82.0,230.0,,long_meta; long_title; serp_ctr_gap,"Primary query: comparison of stainless steel vs. titanium hardware for boats? Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",50
LOW,aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,7.0,0.0,7.0,7.0,3.57,unknown,blog,82.0,230.0,,long_meta; long_title; serp_ctr_gap,"Primary query: aluminium vs stainless steel vs titanium Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",25
