meta_description,duplicate_count,urls,page_types,business_priorities,severity
"morfrac stories, product launches, regattas, yacht engineering projects and insights into high performance sailing hardware.",28,https://www.morfrac.com/blog | https://www.morfrac.com/blog/page/2 | https://www.morfrac.com/blog/tag/custom-9 | https://www.morfrac.com/blog/tag/events-12 | https://www.morfrac.com/blog/tag/manufacturing-8 | https://www.morfrac.com/blog/tag/media-5 | https://www.morfrac.com/blog/tag/morfblock-1 | https://www.morfrac.com/blog/tag/morfrac-network-10 | https://www.morfrac.com/blog/tag/morfwing-13 | https://www.morfrac.com/blog/tag/news-2 | https://www.morfrac.com/blog/tag/on-board-6 | https://www.morfrac.com/blog/tag/partners-11 | https://www.morfrac.com/blog/tag/powerfurl-4 | https://www.morfrac.com/blog/tag/shows-exhibitions-3 | https://www.morfrac.com/es/blog | https://www.morfrac.com/es/blog/page/2 | https://www.morfrac.com/es/blog/tag/custom-9 | https://www.morfrac.com/es/blog/tag/events-12 | https://www.morfrac.com/es/blog/tag/manufacturing-8 | https://www.morfrac.com/es/blog/tag/media-5,archive | general | system | technical_blog,ignore | low | medium,CRITICAL
"innovating the yachting industry with smart, reliable, customizable hardware. learn where morfrac comes from and where is headed!",13,https://www.morfrac.com/about | https://www.morfrac.com/disclaimer | https://www.morfrac.com/es/disclaimer | https://www.morfrac.com/es/privacy | https://www.morfrac.com/es/returns | https://www.morfrac.com/es/shipping | https://www.morfrac.com/es/terms-conditions | https://www.morfrac.com/es/use | https://www.morfrac.com/privacy | https://www.morfrac.com/returns | https://www.morfrac.com/shipping | https://www.morfrac.com/terms-conditions | https://www.morfrac.com/use,general | system,ignore | medium,HIGH
shop powerfurl. directly from our website 24/7 | best price guaranteed | chat with us for free advice and support | free shipping to your yacht,10,https://www.morfrac.com/es/shop/category/powerfurl-1 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/2 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/3 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/4 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/5 | https://www.morfrac.com/shop/category/powerfurl-1 | https://www.morfrac.com/shop/category/powerfurl-1/page/2 | https://www.morfrac.com/shop/category/powerfurl-1/page/3 | https://www.morfrac.com/shop/category/powerfurl-1/page/4 | https://www.morfrac.com/shop/category/powerfurl-1/page/5,product,high,HIGH
"high performance sailing hardware by morfrac: furling systems, sailing blocks, reelers, dogbones, friction rings, padeyes and lightweight deck hardware.",10,https://www.morfrac.com/es/shop | https://www.morfrac.com/es/shop/page/11 | https://www.morfrac.com/es/shop/page/2 | https://www.morfrac.com/es/shop/page/3 | https://www.morfrac.com/es/shop/page/4 | https://www.morfrac.com/shop | https://www.morfrac.com/shop/page/11 | https://www.morfrac.com/shop/page/2 | https://www.morfrac.com/shop/page/3 | https://www.morfrac.com/shop/page/4,general | product,high | medium,HIGH
aluminium dogbone. designed for versatile soft attachment applications and lightweight sailing hardware integration. total length 60mm. | morfrac,7,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone60-23-12467 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/shop/dogbone60-23-12467,product,high,MEDIUM
"grade 5 titanium d-shackle, cnc-machined. ultra light weight, and unmatched load capacity. the most resistant metal shackle available. perfect for high-load applications.",7,https://www.morfrac.com/es/shop/custom-33/powerfurl6-shackle10-12826 | https://www.morfrac.com/es/shop/outlet-36/shackle-17-4ph-12827 | https://www.morfrac.com/es/shop/shackle-17-4ph-12827 | https://www.morfrac.com/es/shop/ti-shackle-24/powerfurl6-shackle10-12826 | https://www.morfrac.com/shop/outlet-36/shackle-17-4ph-12827 | https://www.morfrac.com/shop/shackle-17-4ph-12827 | https://www.morfrac.com/shop/ti-shackle-24/powerfurl6-shackle10-12826,product,high,MEDIUM
"cnc-machined ø6mm grade 5 titanium d-shackle delivering ultra lightweight construction, exceptional strength and reliable 1.5t swl performance offshore.",6,https://www.morfrac.com/es/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/es/shop/ti-shackle-24/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/es/shop/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/ti-shackle-24/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,product,high,MEDIUM
compact lightweight sailing block engineered for smooth running and top-level sailing efficiency. 1500kg swl.,6,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/es/shop/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-light-4-p-12338,product,high,MEDIUM
"lightweight high-efficiency sailing block delivering low friction, compact dimensions and maximum reliability. strength and efficiency for top-level sailing performance.",6,https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-1-5t-sailing-block-12882 | https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-12t-sailing-block-12886 | https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-3t-sailing-block-12859 | https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-5t-sailing-block-12861 | https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-7t-sailing-block-12884 | https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-9t-sailing-block-12885,product,high,MEDIUM
"complete 10t swl continuous line furling kit engineered for smooth furling control, reliable sail handling and offshore durability.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/es/shop/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-continuous-line-furling-kit-12564 | https://www.morfrac.com/shop/powerfurl-ten-continuous-line-furling-kit-12564,product,high,MEDIUM
