semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts,gap_type,gap_score,recommended_action
5,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14},Missing technical authority content,155.0,Create technical guide content supporting the morfblock product family.
0,dogbone,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"dogbone, length, morfrac dogbone, aluminium, total length, total, length morfrac, morfrac, 60mm, aluminium dogbone",{'product': 24},{'dogbone': 24},Missing technical authority content,145.0,Create technical guide content supporting the dogbone product family.
9,powerfurl,21,21,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"powerfurl, 10t swl, 10t, furling, unit, drum, fork, swl, swl furling, powerfurl drum",{'product': 21},{'powerfurl': 21},Missing technical authority content,145.0,Create technical guide content supporting the powerfurl product family.
4,powerfurl,21,21,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"5t swl, 5t, powerfurl, kit, furling, swl, furling kit, swl morfrac, morfrac powerfurl, shackle",{'product': 21},"{'powerfurl': 15, 'shackle': 6}",Missing technical authority content,145.0,Create technical guide content supporting the powerfurl product family.
2,morfblock,38,36,2,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, sailing block, light, morfblock, sailing, block, lightweight sailing, swl, lightweight, high","{'product': 36, 'category': 2}",{'morfblock': 38},Missing technical authority content,125.0,Create technical guide content supporting the morfblock product family.
6,morfring,13,12,0,1,0,0,0,0.0,OK,"morfring, friction, ptfe, friction ring, ring, aluminium friction, aluminium, morfrac morfring, groove, groove max","{'product': 12, 'landing': 1}",{'morfring': 13},Missing technical authority content,91.0,Create technical guide content supporting the morfring product family.
3,padeye,9,8,0,1,0,286,4,9.38,OK,"padeye, stick, deck, morfrac padeye, stick padeye, 20, deck padeye, ring, padeye ring, ring 20","{'product': 8, 'landing': 1}",{'padeye': 9},Missing category support,85.98,Create or improve category structure for padeye pages.
10,morfblock,8,8,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"wood, wooden sailing, wooden, morfblock wood, high load, sailing block, block, morfblock, swl wooden, sailing",{'product': 8},{'morfblock': 8},Missing category support,74.0,Create or improve category structure for morfblock pages.
7,dogbone,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"faced, flat faced, flat, dogbone flat, faced titanium, dogbone, morfrac dogbone, titanium, titanium morfrac, titanium dogbone",{'product': 6},{'dogbone': 6},Missing category support,68.0,Create or improve category structure for dogbone pages.
1,powerfurl,5,5,0,0,0,0,0,0.0,OK,"kit, furling, furling kit, line furling, continuous, continuous line, line, swl continuous, offshore durability, handling offshore",{'product': 5},{'powerfurl': 5},Missing category support,35.0,Create or improve category structure for powerfurl pages.
