company,website,notes,priority
Karver,https://www.karver-systems.com,Furlers and performance sailing hardware,HIGH
Harken,https://www.harken.com,Deck hardware and sailing systems,HIGH
Antal,https://www.antal.it,Performance sailing hardware and textile systems,HIGH
Facnor,https://www.facnor.com,Furling systems and rigging hardware,HIGH
Profurl,https://www.profurl.com,Furling systems and offshore sailing hardware,HIGH
Ubi Maior,https://www.ubimaioritalia.com,High performance sailing hardware,HIGH
KZ furlers,http://www.kzracefurlers.com/,furlers,HIGH
Ronstan,https://www.ronstan.com,Sailing hardware and rigging systems,MEDIUM
Lewmar,https://www.lewmar.com,Marine deck hardware and winches,MEDIUM
Spinlock,https://www.spinlock.co.uk,Performance rope handling and safety systems,MEDIUM
Bamar,https://www.bamar.it,Furling and sailing hardware systems,MEDIUM
Kohlhoff,https://www.kohlhoff-online.de,hardware,LOW
Reckmann,https://www.reckmann.com,Structural furling systems and rigging,LOW
Colligo Marine,https://www.colligomarine.com,Composite and textile rigging systems,LOW
