semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
1,other,52,20,2,3,17,0,0,0.0,FRAGMENTED_TOPIC,"padeye, morfrac, wood, deck, morfblock, wooden, wooden sailing, morfblock wood, sailing, morfwing","{'product': 20, 'authority_content': 17, 'general': 10, 'landing': 3, 'category': 2}","{'other': 13, 'morfblock': 12, 'padeye': 7, 'morfwing': 5, 'powerfurl': 5, 'custom_engineering': 4, 'mreel': 4, 'dogbone': 1, 'hoistlock': 1}"
3,powerfurl,42,0,42,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, powerfurl, morfrac, shop powerfurl, powerfurl morfrac, shop shop, morfblock, shop morfblock",{'category': 42},"{'powerfurl': 16, 'morfblock': 10, 'other': 6, 'dogbone': 3, 'shackle': 2, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
5,dogbone,31,30,0,1,0,363,3,2.16,FRAGMENTED_TOPIC,"dogbone, morfrac dogbone, length, aluminium, morfrac, length morfrac, total, total length, titanium, faced","{'product': 30, 'landing': 1}",{'dogbone': 31}
6,morfblock,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, light, lightweight sailing, sailing block, block, sailing, morfblock, swl, lightweight, high",{'product': 30},{'morfblock': 30}
4,shackle,24,16,0,2,4,358,21,6.46,FRAGMENTED_TOPIC,"shackle, custom, ti shackle, ti, titanium, titanium shackle, high, ultra, snatch, performance","{'product': 16, 'authority_content': 4, 'general': 2, 'landing': 2}","{'shackle': 9, 'morfblock': 4, 'mloop': 4, 'powerfurl': 3, 'custom_engineering': 1, 'padeye': 1, 'dogbone': 1, 'morfring': 1}"
10,morfring,16,15,0,1,0,0,0,0.0,OK,"ring, friction, friction ring, morfring, aluminium friction, ptfe, aluminium, ring morfrac, morfrac morfring, groove max","{'product': 15, 'landing': 1}","{'morfring': 13, 'padeye': 3}"
8,powerfurl,5,5,0,0,0,0,0,0.0,OK,"integrator, swl integrator, powerfurl, td, powerfurl td, td integrator, designed smooth, smooth reliable, integrators, tdis",{'product': 5},{'powerfurl': 5}
11,powerfurl,19,19,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"kit, furling, powerfurl, 5t, 5t swl, furling kit, swl, swl morfrac, powerfurl furling, powerfurl kit",{'product': 19},"{'powerfurl': 16, 'shackle': 3}"
0,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14}
9,powerfurl,11,11,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, drum, powerfurl, furling, powerfurl drum, unit powerfurl, furling unit, unit morfrac, powerfurl engineered, swl",{'product': 11},{'powerfurl': 11}
2,morfblock,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"morfblock max, max, sailing, efficiency, sailing block, block, delivering low, dimensions maximum, efficiency level, reliability strength",{'product': 6},{'morfblock': 6}
7,powerfurl,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, powerfurl fork, fitting, 10t, 10t swl, fork fitting, powerfurl, fork fork, swl, swl morfrac",{'product': 6},{'powerfurl': 6}
