semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
6,other,51,15,0,3,21,119,13,1.07,FRAGMENTED_TOPIC,"custom, morfrac, morfblock, snatch, high performance, morfwing, mreel, rope reeler, reeler, hardware","{'authority_content': 21, 'product': 15, 'general': 12, 'landing': 3}","{'other': 12, 'powerfurl': 8, 'morfblock': 8, 'custom_engineering': 6, 'morfwing': 5, 'mloop': 4, 'mreel': 4, 'dogbone': 2, 'morfring': 1, 'hoistlock': 1}"
7,powerfurl,38,0,38,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, powerfurl, morfrac, shop powerfurl, powerfurl morfrac, tdi, shop morfblock, morfblock",{'category': 38},"{'powerfurl': 16, 'other': 9, 'morfblock': 5, 'dogbone': 3, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
3,dogbone,31,30,0,1,0,470,3,3.31,FRAGMENTED_TOPIC,"dogbone, morfrac dogbone, length, aluminium, morfrac, total length, length morfrac, total, titanium, faced","{'product': 30, 'landing': 1}",{'dogbone': 31}
0,morfblock,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, light, lightweight sailing, sailing block, block, sailing, morfblock, swl, lightweight, high",{'product': 30},{'morfblock': 30}
8,powerfurl,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"kit, furling, powerfurl, 5t, 5t swl, furling kit, swl, swl morfrac, morfrac powerfurl, powerfurl kit",{'product': 24},"{'powerfurl': 21, 'shackle': 3}"
2,morfblock,22,20,2,0,0,0,0,0.0,FRAGMENTED_TOPIC,"xl, sailing block, morfblock, block, morfblock xl, sailing, xl sailing, morfblock max, max, swl","{'product': 20, 'category': 2}",{'morfblock': 22}
10,morfring,13,12,0,1,0,0,0,0.0,OK,"morfring, friction, ptfe, friction ring, ring, aluminium friction, aluminium, morfrac morfring, groove max, groove","{'product': 12, 'landing': 1}",{'morfring': 13}
5,shackle,12,9,2,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, titanium, shackle morfrac, ø6mm, machined, cnc machined, cnc","{'product': 9, 'category': 2, 'landing': 1}",{'shackle': 12}
4,padeye,9,8,0,1,0,0,0,0.0,OK,"padeye, stick, deck, morfrac padeye, stick padeye, 20, ring, deck padeye, ring 20, padeye ring","{'product': 8, 'landing': 1}",{'padeye': 9}
1,powerfurl,16,16,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, powerfurl, furling, drum, 10t swl, 10t, powerfurl drum, swl, unit powerfurl, unit morfrac",{'product': 16},{'powerfurl': 16}
11,morfblock,8,8,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"wood, wooden sailing, wooden, morfblock wood, high load, sailing block, block, morfblock, swl wooden, sailing",{'product': 8},{'morfblock': 8}
9,powerfurl,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, powerfurl fork, fitting, 10t swl, 10t, fork fitting, powerfurl, fork fork, swl, swl morfrac",{'product': 6},{'powerfurl': 6}
